use-any-font,Use Any Font,4.3
mainwp-child,MainWP Child,2.0.8
video-thumbnails,Video Thumbnails,2.12
wp-missed-schedule,WP Missed Schedule Fix Failed Future Posts,2014.0221.2015
search-and-replace,Search and Replace,2.7.0
wp-polls,WP-Polls,2.68
event-organiser,Event Organiser,2.12.0
facebook-comments-plugin,Facebook Comments,2.2.3
wp-dbmanager,WP-DBManager,2.75
iframe,iframe,3.0
velvet-blues-update-urls,Velvet Blues Update URLs,3.2.3
formget-contact-form,FormGet Contact Form,5.2
wp-construction-mode,WP Construction Mode,3.01
google-document-embedder,Google Doc Embedder,2.5.19
booking,Booking Calendar,5.3.1
page-links-to,Page Links To,2.9.4
google-captcha,Google Captcha (reCAPTCHA) by BestWebSoft,1.13
wordpress-ping-optimizer,WordPress Ping Optimizer,2.34.7
yith-woocommerce-zoom-magnifier,YITH WooCommerce Zoom Magnifier,1.1.5
ag-custom-admin,AG Custom Admin,1.4.6
mqtranslate,mqTranslate,2.10
cloudflare,CloudFlare,1.3.16
lightbox-plus,Lightbox Plus Colorbox,2.7
option-tree,OptionTree,2.5.1
simple-history,Simple History,2.0.21
mp3-jplayer,MP3-jPlayer,2.3
intuitive-custom-post-order,Intuitive Custom Post Order,3.0.4
wordpress-popular-posts,WordPress Popular Posts,3.2.1
add-link-to-facebook,Add Link to Facebook,1.214
newsletter-sign-up,Newsletter Sign-Up,2.0.5
contact-form-maker,Contact Form Maker,1.7.27
wp-e-commerce,WP eCommerce,3.9.1
rating-widget,Rating-Widget: Star Rating System,2.4.2
zopim-live-chat,Zopim Live Chat,1.3.6
grand-media,"Gmedia Gallery - Photo Gallery, Image Slider, Music Player, Video Player, Media Library",1.5.5
buddypress-media,"rtMedia for WordPress, BuddyPress and bbPress",3.7.33
yikes-inc-easy-mailchimp-extender,Easy MailChimp Forms,5.3.2
wp-members,WP-Members,2.9.8.1
anti-spam,Anti-spam,3.5
enable-media-replace,Enable Media Replace,3.0.3
wp-external-links,WP External Links (nofollow new window seo),1.60
my-calendar,My Calendar,2.3.24
