contact-form-7,Contact Form 7,4.9.1
bwp-google-xml-sitemaps,"Better WordPress Google XML Sitemaps (support Sitemap Index, Multi-site and Google News)",1.4.1
godaddy-email-marketing-sign-up-forms,GoDaddy Email Marketing,1.2.0
simple-custom-post-order,Simple Custom Post Order,2.3.2
siteguard,SiteGuard WP Plugin,1.4.1
official-statcounter-plugin-for-wordpress,StatCounter – Free Real Time Visitor Stats,2.0.1
underconstruction,underConstruction,1.18
cloudflare,Cloudflare,3.3.1
easy-theme-and-plugin-upgrades,Easy Theme and Plugin Upgrades,2.0.0
cornerstone,Cornerstone,0.7.5
ssl-insecure-content-fixer,SSL Insecure Content Fixer,2.4.0
facebook,Facebook,1.5.5
wp-polls,WP-Polls,2.73.7
wordpress-ping-optimizer,WordPress Ping Optimizer,2.34.9.0
addquicktag,AddQuicktag,2.5.1
wp-editor,WP Editor,1.2.6.3
search-and-replace,Search & Replace,3.1.2
wp-slimstat,Slimstat Analytics,4.7.2.2
stops-core-theme-and-plugin-updates,Easy Updates Manager,6.4.0
smart-slider-3,Smart Slider 3,3.2.9
ultimate-social-media-icons,Social Media Share Buttons & Social Sharing Icons (Ultimate Sharing),1.8.0
password-protected,Password Protected,2.1
simple-tags,Simple Tags,2.4.7
sydney-toolbox,Sydney Toolbox,1.01
column-shortcodes,Column Shortcodes,1.0
wordpress-23-related-posts-plugin,WordPress Related Posts,3.6.4
under-construction-page,Under Construction,2.66
themeisle-companion,Orbit Fox Companion,2.0.11
master-slider,Master Slider – Responsive Touch Slider,3.1.6
tiny-compress-images,Compress JPEG & PNG images,2.2.6
quick-adsense,Quick Adsense,1.9.4
header-footer,"Head, Footer and Post Injections",3.1.0
kirki,Kirki,3.0.11
all-in-one-event-calendar,All-in-One Event Calendar,2.5.27
hide-title,Hide Title,1.0.4
p3-profiler,P3 (Plugin Performance Profiler),1.5.3.9
iframe,iframe,4.3
slideshow-jquery-image-gallery,Slideshow,2.3.1
favicon-by-realfavicongenerator,Favicon by RealFaviconGenerator,1.3.11
events-manager,Events Manager,5.7.3
mce-table-buttons,MCE Table Buttons,3.2
q2w3-fixed-widget,Q2W3 Fixed Widget,5.0.4
wp-lightbox-2,WP Lightbox 2,3.0.6.2
social-media-feather,Social Media Feather | social media sharing,1.8.4
uk-cookie-consent,Cookie Consent,2.3.4
post-duplicator,Post Duplicator,2.20
menu-icons,Menu Icons,0.10.2
all-404-redirect-to-homepage,All 404 Redirect to Homepage,1.8
auto-terms-of-service-and-privacy-policy,Auto Terms of Service and Privacy Policy,1.8.1
count-per-day,Count per Day,3.5.7
insert-php,Insert PHP,1.3
sidekick,Sidekick,2.6.8
wp-social-bookmarking-light,WP Social Bookmarking Light,2.0.2
contact-form-7-datepicker,Contact Form 7 Datepicker,2.6.0
title-remover,Title Remover,1.0
enhanced-media-library,Enhanced Media Library,2.4.5
pdf-embedder,PDF Embedder,3.0.1
easy-facebook-likebox,Easy Facebook Like Box (Facebook Page Plugin) – Custom Facebook Feed – Auto PopUp,4.3.3
shareaholic,"Shareaholic | share buttons, related posts, social analytics & more",8.5.3
nextend-facebook-connect,Nextend Facebook Connect,2.0.2
white-label-cms,White Label CMS,1.6.1
svg-support,SVG Support,2.3.11
theme-check,Theme Check,20160523.1
google-captcha,Google Captcha (reCAPTCHA) by BestWebSoft,1.32
recent-posts-widget-with-thumbnails,Recent Posts Widget With Thumbnails,5.2
custom-permalinks,Custom Permalinks,1.2.8
mappress-google-maps-for-wordpress,MapPress Easy Google Maps,2.47.4
wp-jalali,wp-jalali,5.0.1
email-subscribers,Email Subscribers & Newsletters,3.4.2
foogallery,FooGallery – Image Gallery WordPress Plugin,1.3.8
facebook-pagelike-widget,Facebook Widget,4.2.1
relevanssi,Relevanssi – A Better Search,3.6.2.2
duracelltomi-google-tag-manager,DuracellTomi's Google Tag Manager for WordPress,1.7.1
list-category-posts,List category posts,0.72
caldera-forms,Caldera Forms – More Than Contact Forms,1.5.6.2
spacer,Spacer,3.0.4
search-regex,Search Regex,1.4.16
visual-form-builder,Visual Form Builder,2.9.4
facebook-comments-plugin,Facebook Comments,2.3.6
yith-woocommerce-ajax-search,YITH WooCommerce Ajax Search,1.5.3
automatic-updater,Advanced Automatic Updates,1.0.2
404-to-301,404 to 301,2.3.3
disable-google-fonts,Disable Google Fonts,1.3
woocommerce-services,WooCommerce Services,1.8.2
envira-gallery-lite,Photo Gallery by Envira – Responsive Image Gallery for WordPress,1.6.1.7
tawkto-live-chat,Tawk.To Live Chat,0.3.3
genesis-enews-extended,Genesis eNews Extended,2.0.2
video-thumbnails,Video Thumbnails,2.12.3
foobox-image-lightbox,FooBox Image Lightbox WordPress Plugin,1.2.27
virtue-toolkit,Kadence Themes Toolkit,4.5
google-language-translator,Google Language Translator,5.0.33
responsive-menu,Responsive Menu,3.1.8
nav-menu-roles,Nav Menu Roles,1.9.1
fancybox-for-wordpress,FancyBox for WordPress,3.0.13
woocommerce-gateway-paypal-powered-by-braintree,WooCommerce PayPal Powered by Braintree Payment Gateway,2.0.4
wp-job-manager,WP Job Manager,1.29.0
woocommerce-pdf-invoices-packing-slips,WooCommerce PDF Invoices & Packing Slips,2.0.14
unyson,Unyson,2.7.9
google-maps-widget,Google Maps Widget,3.60
yith-woocommerce-ajax-navigation,YITH WooCommerce Ajax Product Filter,3.4.6
no-category-base-wpml,No Category Base (WPML),1.3
options-framework,Options Framework,1.8.5
portfolio-post-type,Portfolio Post Type,0.9.3
add-meta-tags,Add Meta Tags,2.11.3
remove-query-strings-from-static-resources,Remove Query Strings From Static Resources,1.4
display-posts-shortcode,Display Posts Shortcode,2.9.0
xml-sitemap-feed,XML Sitemap & Google News feeds,4.7.5
widget-css-classes,Widget CSS Classes,1.5.2
revision-control,Revision Control,2.3.2
maxbuttons,WordPress Button Plugin MaxButtons,6.23
download-manager,WordPress Download Manager,2.9.58
oauth-twitter-feed-for-developers,oAuth Twitter Feed for Developers,2.3.0
link-manager,Link Manager,0.1-beta
wp-postratings,WP-PostRatings,1.84.1
option-tree,OptionTree,2.6.0
advanced-excerpt,Advanced Excerpt,4.2.3
ajax-thumbnail-rebuild,AJAX Thumbnail Rebuild,1.2.1
yith-woocommerce-zoom-magnifier,YITH WooCommerce Zoom Magnifier,1.2.30
form-maker,Form Maker by WD – user-friendly drag & drop Form Builder plugin,1.12.4
ultimate-tinymce,Ultimate TinyMCE,5.7
blogger-importer,Blogger Importer,0.9
instagram-slider-widget,Instagram Slider Widget,1.4.0
wp-add-custom-css,WP Add Custom CSS,1.0.1
wp-google-map-plugin,WP Google Map Plugin,4.0.1
antivirus,AntiVirus,1.3.9
email-address-encoder,Email Address Encoder,1.0.5
bulletproof-security,BulletProof Security,2.8
category-posts,Category Posts Widget,4.7.4
zopim-live-chat,Zendesk Chat,1.4.11
search-everything,Search Everything,8.1.9
wp-review,WP Review,4.0.10
google-document-embedder,Google Doc Embedder,2.6.4
cryout-theme-settings,Cryout Serious Theme Settings,0.5.8.1
simple-image-sizes,Simple Image Sizes,3.1.1
download-monitor,Download Monitor,1.9.9
add-from-server,Add From Server,3.3.3
ad-inserter,Ad Inserter – WordPress Ads Management,2.2.5
easy-columns,WP Easy Columns,v2.1.3
cms-tree-page-view,CMS Tree Page View,1.4
call-now-button,Call Now Button,0.2.1
custom-post-type-permalinks,Custom Post Type Permalinks,3.1.3
gallery-images,Image Gallery – Responsive Photo Gallery,2.2.5
vaultpress,VaultPress,1.9.2
lazy-load,Lazy Load,0.6.1
custom-css-js,Simple Custom CSS and JS,3.8
content-views-query-and-display-post-page,Content Views – Post Grid & List for WordPress,1.9.9.4
rvg-optimize-database,Optimize Database after Deleting Revisions,4.4
wp-jquery-lightbox,WP jQuery Lightbox,1.4.8
custom-field-template,Custom Field Template,2.3.7
genesis-simple-hooks,Genesis Simple Hooks,2.2.0
imagify,Imagify Image Optimizer,1.6.12
disable-xml-rpc,Disable XML-RPC,1.0.1
backup,WordPress Backup and Migrate Plugin – BackupGuard,1.1.52
ultimate-coming-soon-page,Ultimate Coming Soon Page,1.16.1
better-font-awesome,Better Font Awesome,1.7.1
soliloquy-lite,Slider by Soliloquy – Responsive Image Slider for WordPress,2.5.1.3
codepress-admin-columns,Admin Columns,3.0.3
peters-login-redirect,Peter’s Login Redirect,2.9.1
accelerated-mobile-pages,AMP for WP – Accelerated Mobile Pages,0.9.66.1
one-click-child-theme,One-Click Child Theme,1.6
wordpress-https,WordPress HTTPS (SSL),3.3.6
platinum-seo-pack,Platinum SEO Pack,1.3.8
facebook-like-box-widget,Facebook Like Box Widget,2.9
api-key-for-google-maps,API KEY for Google Maps,1.1.0
bwp-minify,Better WordPress Minify,1.3.3
reveal-ids-for-wp-admin-25,Reveal IDs,1.5.2
pushpress,PuSHPress,0.1.7.2
wd-instagram-feed,Instagram Feed WD – Instagram Gallery for WordPress,1.2.8
custom-login,Custom Login,3.2.5
google-sitemap-plugin,Google Sitemap by BestWebSoft,3.1.1
user-switching,User Switching,1.2.0
gtranslate,Translate WordPress with GTranslate,2.8.32
wp-tab-widget,WP Tab Widget,1.2.7
wp-security-scan,Acunetix WP Security,4.0.5
amr-shortcode-any-widget,amr shortcode any widget,3.6
wp-all-import,Import any XML or CSV File to WordPress,3.4.6
edit-author-slug,Edit Author Slug,1.5.2
google-calendar-events,Simple Calendar – Google Calendar Plugin,3.1.10
contact-form-7-dynamic-text-extension,Contact Form 7 Dynamic Text Extension,2.0.2.1
cyr2lat,Cyr-To-Lat,3.2
disable-xml-rpc-pingback,Disable XML-RPC Pingback,1.1
codelights-shortcodes-and-widgets,SiteOrigin Widgets by CodeLights,1.2
dynamic-widgets,Dynamic Widgets,1.5.13
use-google-libraries,Use Google Libraries,1.6.2.3
ithemes-sync,iThemes Sync,2.0.3
block-bad-queries,BBQ: Block Bad Queries,20171101
order-categories,Category Order,1.0.3
eu-cookie-law,EU Cookie Law,2.10
wp-file-manager,File Manager,1.8
advanced-code-editor,Advanced Code Editor,2.2.7
categories-images,Categories Images,2.5.3
mashsharer,Social Media Share Buttons | MashShare,3.4.5
slider-wd,Slider by WD – Responsive Slider for WordPress,1.1.92
tac,Theme Authenticity Checker (TAC),1.5.3
login-customizer,Custom Login Page Customizer,1.2.0
simple-image-widget,Simple Image Widget,4.4.2
easy-twitter-feed-widget,Easy Twitter Feed Widget Plugin,0.8
tweet-old-post,Revive Old Post – Auto Post to Social Media,7.5.0
