contact-form-7,Contact Form 7,4.9.1
tidio-live-chat,Tidio Live Chat,3.2.0
wp-super-minify,WP Super Minify,1.5.1
mailchimp-widget,MailChimp Widget,0.8.12
slider,Image Slider – Responsive Slider,2.4.5
restricted-site-access,Restricted Site Access,6.0.1
instapage,Instapage WordPress Plugin,3.1.10
whats-new-genarator,What's New Generator,2.0.1
all-in-one-webmaster,All in One Webmaster,13.1
pdf-viewer,PDF Viewer,0.1
easy-coming-soon,Easy Coming Soon,1.9.6.1
wck-custom-fields-and-custom-post-types-creator,Custom Post Types and Custom Fields creator – WCK,2.1.3
wp-force-https,WordPress Force HTTPS,0.1.3
pricing-table-by-supsystic,Pricing Table by Supsystic,1.4.7
wp-mail-logging,WP Mail Logging,1.8.1
wowslider,WOW Slider,8.6
social-media-icons-widget,Social Icons Widget,16.07
baw-post-views-count,Post Views Count (Support caching plugins!),3.0.2
wordpress-php-info,WordPress phpinfo(),16.3
per-page-add-to,Per page add to head,1.4.2
simple-full-screen-background-image,Simple Full Screen Background Image,1.2
featured-images-for-rss-feeds,Featured Images in RSS & Mailchimp Email,1.4.7
genesis-favicon-uploader,Genesis Favicon Uploader,.1.1b
remove-google-fonts-references,Remove Google Fonts References,2.6
server-ip-memory-usage,Server IP & Memory Usage Display,2.0.3
custom-user-profile-photo,Custom User Profile Photo,0.5.3
a3-lazy-load,a3 Lazy Load,1.8.2
contact-form-7-skins,Contact Form 7 Skins,1.2.1
fruitful-shortcodes,Fruitful Shortcodes,1.6.1
the-events-calendar-shortcode,The Events Calendar Shortcode,1.7
simply-exclude,Simply Exclude,2.0.6.6
dirtysuds-embed-pdf,Embed PDF,1.0.6
wp-subtitle,WP Subtitle,3.0
child-themify,Child Themify,2.0.0
wp-job-manager-locations,Regions for WP Job Manager,1.14.0
business-directory-plugin,Business Directory Plugin,5.0.4
dk-pricr-responsive-pricing-table,Responsive Pricing Table,4.3.2
wp-file-upload,WordPress File Upload,4.0.1
quick-featured-images,Quick Featured Images,13.3
buddypress-media,"rtMedia for WordPress, BuddyPress and bbPress",4.4.4
shiftnav-responsive-mobile-menu,ShiftNav – Responsive Mobile Menu,1.6.1.2
cachify,Cachify,2.2.4
adsense-manager,AdSense Manager,4.0.3
pinterest-pin-it-button,"Pinterest ""Pin It"" Button",2.1.0.1
responsive-lightbox-lite,Responsive Lightbox,1.3.2
landing-pages,WordPress Landing Pages,2.6.4
wpfront-notification-bar,WPFront Notification Bar,1.7
breadcrumb-trail,Breadcrumb Trail,1.1.0
table-maker,Table Maker,1.6
horizontal-scrolling-announcement,Horizontal scrolling announcement,8.7
easy-pie-maintenance-mode,EZP Maintenance Mode,1.0.1
wp-php-widget,WP PHP widget,1.0.2
cherry-sidebars,Cherry Sidebars,1.1.2
social-share-buttons-by-supsystic,Social Share Buttons by Supsystic,1.8.8
woocommerce-all-in-one-seo-pack,WooCommerce – All in One SEO Pack,1.3.4
new-user-approve,New User Approve,1.7.5
woocommerce-advanced-free-shipping,WooCommerce Advanced Free Shipping,1.1.3
yop-poll,YOP Poll,5.8.2
wp-twitter-feeds,WP twitter feeds,1.4.9
event-tickets,Event Tickets,4.5.7
ozh-admin-drop-down-menu,Ozh' Admin Drop Down Menu,3.6.10
wp-seo-html-sitemap,WP SEO HTML Sitemap,0.9.6
better-analytics,Better Google Analytics,1.2.3
woocommerce-pdf-invoices,WooCommerce PDF Invoices,2.9.9
woocommerce-social-media-share-buttons,Woocommerce Social Media Share Buttons,1.3.0
advanced-database-cleaner,Advanced Database Cleaner,2.0.0
final-tiles-grid-gallery-lite,Image Photo Gallery Final Tiles Grid,3.3.24
postie,Postie,1.9.10
igniteup,IgniteUp – Coming Soon and Maintenance Mode,3.2
grand-media,"Gallery – Gmedia Photo Gallery. Music Player, Video Gallery, Media Library",1.11.3
nav-menu-images,Nav Menu Images,3.4
posts-to-posts,Posts 2 Posts,1.6.5
link-library,Link Library,5.9.14.12
nextcellent-gallery-nextgen-legacy,NextCellent Gallery – NextGEN Legacy,1.9.35
wc-vendors,WC Vendors,1.9.12
eig-sso,EIG-SSO,1.0.2
smooth-slider,Smooth Slider,2.8.7
woocommerce-mailchimp,WooCommerce MailChimp,2.1.2
admin-post-navigation,Admin Post Navigation,2.0
one-page-express-companion,One Page Express Companion,1.0.7
gravity-forms-custom-post-types,Gravity Forms + Custom Post Types,3.1.8
remove-xmlrpc-pingback-ping,Remove XMLRPC Pingback Ping,1.0.0
accesspress-instagram-feed,AccessPress Instagram Feed,2.2.8
groups,Groups,2.3.0
wp-mobile-detect,WP Mobile Detect,2.0
sassy-social-share,WordPress Social Sharing Plugin – Sassy Social Share,3.1.4
search-exclude,Search Exclude,1.2.2
miniorange-login-openid,Social Login,5.1.7
pagerestrict,Page Restrict,2.2.8
zero-spam,WordPress Zero Spam,3.0.6
meta-manager,Meta Manager,1.0.8
social-sharing-toolkit,Social Sharing Toolkit,2.5
gravity-forms-no-captcha-recaptcha,Gravity Forms No CAPTCHA reCAPTCHA,1.0.7
insert-pages,Insert Pages,3.2.7
llorix-one-companion,Llorix One Companion,1.1.4
custom-favicon,Custom Favicon,1.0.3
responsive-select-menu,Responsive Select Menu,1.7
wp-custom-widget-area,WP Custom Widget area,1.2.5
mailmunch,MailMunch – Grow your Email List,3.0.7
twitter-facebook-google-plusone-share,"Add Twitter, Facebook Like, Google plus one Social share",2.4.3
feedzy-rss-feeds,FEEDZY RSS Feeds Lite,3.2.4
codepeople-post-map,Google Maps CP,1.0.7
no-right-click-images-plugin,No Right Click Images Plugin,2.5
wp-share-buttons-analytics-by-getsocial,Social Media Share Buttons & Analytics,4.0.2
wp-seo-structured-data-schema,WP SEO Structured Data Schema,2.2
wp-native-dashboard,WP Native Dashboard,1.3.12
wp-ban,WP-Ban,1.69
affilinet-performance-module,affilinet Performance Ads,1.8.7
opml-importer,OPML Importer,0.2
commentluv,CommentLuv,2.94.7
pojo-sidebars,Pojo Sidebars,1.0.3
restaurant-reservations,Restaurant Reservations,1.7.6
tumblr-importer,Tumblr Importer,0.8
wp-remove-category-base,WP Remove Category Base,1.0
brute-force-login-protection,Brute Force Login Protection,1.5.3
wordpress-access-control,WordPress Access Control,4.0.13
scripts-n-styles,Scripts n Styles,3.4.4
qtranslate-slug,Qtranslate Slug,1.1.18
redis-cache,Redis Object Cache,1.3.5
wordpress-easy-paypal-payment-or-donation-accept-plugin,WP Easy Paypal Payment Accept,v4.9.5
only-tweet-like-share-and-google-1,"Tweet, Like, Google +1 and Share",1.7.8
hide-youtube-related-videos,Hide YouTube Related Videos,1.4.2
social-polls-by-opinionstage,"Poll, Survey, Quiz, Slideshow & Form Builder",19.2.1
meks-simple-flickr-widget,Meks Simple Flickr Widget,1.1.3
hide-plugin-updates-notifications,WP Hide Plugin Updates and Warnings,1.0
activecampaign-subscription-forms,ActiveCampaign,6.2.12
custom-twitter-feeds,Custom Twitter Feeds,1.2.7
easy-custom-sidebars,Easy Custom Sidebars,1.0.9
vk-all-in-one-expansion-unit,VK All in One Expansion Unit,5.7.7
css-javascript-toolbox,CSS & JavaScript Toolbox,8.3.2
schema,Schema,1.6.9.7
extended-categories-widget,AVH Extended Categories Widgets,4.0.6
string-locator,String locator,2.2.0
cbnet-ping-optimizer,cbnet Ping Optimizer,3.0
blogvault-real-time-backup,WordPress Backup Plugin – BlogVault,1.49
simple-login-log,Simple Login Log,1.1.2
oh-add-script-header-footer,SOGO Add Script to Individual Pages Header Footer,2.4
crelly-slider,Crelly Slider,1.2.3
gravity-forms-pdf-extended,Gravity PDF,4.3.0
genesis-columns-advanced,Genesis Columns Advanced,2.0.3
scalable-vector-graphics-svg,Scalable Vector Graphics (SVG),3.4
